O to bhaiya birth right hai	 Ut
Jab bandook mein golian khatam ho jayen to saala bandook he de maaro	 Ut
Saala ye page bhi mujhe hi bharna padega	 Saxenaji
Jai Shri Jesus Christ 	 Pampam
Saala C mein blackbelt hai kya? 	 Ut
Saala padosi ki biwi ko bhabhiji bolo aur line maaro koi shak nahi karega	 Neelesh Singhal
Saala agar akhbaar bechoge to uspe bhi first law of thermodynamics lagega (on validity of first law) 	 Neelesh Singhal
Sehwag bhaiya fir se peeke maidan mein (On Sehwag's 293 against Srilanka) 	 Neelesh Singhal
Saale lekin is baar dhang se karna hai apni style main nahi	 Ut
Ok I don't know why I am laughing	 Ut
Bhaiya ek kanya ko propose karne ki saajish rachi jaa rahi hai	 Ut
Mote ki jhalar ka ek aur bulb jalaa	 Ut
Ye to awesome stuff hai	 Anon
I am not an atheist only my gods are different	 Saxenaji
Abe mujhe to saala ye O(n) lag raha hai but abhi pee nahi rakhi hai to galat bhi ho sakta hai	 Ut
Kataksh kaa matlab (0.25*disagree+0.75*oppose)	Ut
(On a low height fan): Yaar yeh pankha band kar do abhi ek peg chadha ke main udne lagun toh chot vot na lagg jaye 	 Ramik
Sounds very much like me although I don't always remember what I say 	 ntveem
Main khud ko underestimate nahi karoonga to saale doosre karenge kya? 	 Ut
Mere paapa ne kabhi na socha hoga ki meri aulaad aise chutkullon par hasengi	 Ut
Main apne khaandaan main pehla hounga jisse Vim use karna aata hai. Yes! Yes! Yes! 	 Ut
Meri autobiography main saala meri chatlog hi chhap dena	 Ut
Bahiya hum to sirf Led Zep hi bajatain hain .. 	 Sashant
Abe mere ko lag raha hai ki tum mere bahaane apni site ko popularize kar rahe ho	 Webmaster
Lekin jhooth bolne ke paise lagenge 	 Mota
Khao vidya rani ki kasam 	 Mota
Bhaiyya Inphosis mein job karenge... jum ke dahej milega 	 Mota
Bhaiyya hamarey gaon mein har gaadi ko maruti bolte hain 	 Sukhpreet Singh
Coldrink pilaooge ??? 	 Sashant
Humari society main hum bahut izzatdaar logo main atain hain ... 	 Anonymous
Bhaiya..tumhari sari samasyaon ka samadhaan hai ..saadi..kar lo..sukhi rahoge.. 	 Anonymous
Dudes! Don't get excited! 	 Anon
Bhaiya saala aur kuch bhi milao ek sax quote ban jayegi 	 Anonymous
Beta vyavhaar kharaab ho jayega 	 Bihari
Bhaiyya chicken aisa khao ki kutta bhi haddi soongh ke chodd de 	 The legendary Bihari
Bhaiyya hum daaru kewal muft ki peete hain 	 The legendary Bihari
(On being praised for his awesome quotes)  Aah well I can't take adorism 	 ntveem
Saala yogiii... bahane bhi aise maarta hai ki saala paanchvi kaksha ke bache ko bhi sharam aa jaye	 Ramik
Anjan Gupta bhi Etawah ka hai .. Ikka pakka hai 	 The legendary Bihari
(On being unable to call a BSNL phone) Bhai sahab nahi lagega 	 Anonymous
Bhaiya ab bas PhD karke Bits Goa mein Prof ban jaayenge aur roz Curlies pe 4 laundiya ghoomayenge	 MDM
Bas yaar MCM mil jaye .. Les Paul le lenge 	 The legendary Bihari
Khane ke saath majaak nahi !! 	 The legendary Bihari
Paani to kanpur ka hi piya hai na tumne	 ntveem
Baap re! Videsh to kaafi advance ho gaya hai 	 ntveem
Oh teri kya hua bhai panji tum bhi bik gaye kya? 	 ntveem
(About foreign chocolates) Abe kissi ko bataana hi mat chup chaap mere ko de dena 	 ntveem
C++ kitni aati hai? Adult level tak ki aati hai? 	 Ut
Yeh kya cheez hai humne to bahut bade bade Freudian slip maare hain	 Ut
... Cinatown The sting Fargo Manorama(chinatown's hindi make) Casablanca one movie I cannot recollect the name of Full metal jacket The secret in their eyes and 15 minutes of Star wars dekhein hain	 Ut
Maa kasam! Aisa lag raha hai ki phir se jawaani aa gayi. Saale ye mat chipka dena page par	 Ut
Bhaiya ek aur banaa deta hoon but jawaani waala mat chipkaana	 Ut
Saari galti bhagwaan banaane waale ki hai	 A devotee
For a few days even I became obsessed with this page 	 ntveem
"saale tumhare hansne ki spelling "":-)"" alag kyon hoti hai? "":)"" "	 Ut
Sabhi paapi Farakka ka pani pi lein	 Suneel
Ghar par goliya banti hai to saale dinbhar bandook chalaaoge kya? 	 Ut
Abe saale Saxenao mai sabse great mai hoon hey bhagaan kya hoga hamaara	 Ut
I have too much of an ego  to laugh at other people's jokes	 Ut
Today I saw some proud parents - I don't want mine to be one of them	 An anonymous admirer
Bhagwaan se na poocho ki mandir kaisa hai ye to saale bhakt hai jinke paas fursat bahut hai	 Ut
Bhaiyyah sasur mera bandook leke ghar ke saamne baita hain mere intezaar mein	 Suryajith
Kisne kaha Oscar bhayya quote nahin dal sakte? 	 Oscar Wilde
Kaash upar waala sun raha ho ... and anyway main hi top floor par rehta hoon	 Ut
I was contemplating during the convo dress rehearsal ki drop maar doon kya IITK dropout kehlaaunga. Phir yaad aaya ki kissi ne dropout karke PhD nahi ki	 Ut
Bhai ab jaakar thoda resign wagarah maar doon	 Ut
Kya be? Saala itna underestimate to mai khud ko nahi karta	 Ut
(On 100% cutoff for SRCC) Thank God we have IITs warna to mai anpadh reh jaata	 Ut
One gehri baat a day will keep most people away	 Ut
Yaar mai duniya ka pehla aadmi hounga jo naukri karke jyada gareeb ho gaya college mai udhaar 4 digit mai hota tha ab saala 5 digit ho gaya	 Ut
beta jahaan latth chalti hai wahaan subtle cheezein nahi chalti 	 Tejaswi
hadd hai yaar chat karna bhi mushkil kar rakha hai tum logon ne 	 ntveem
Jitni badi chaddhi hogi.. utna badaa saala lund bhi ho jayega 	 Pandu
bhai c c++ java python ruby sab aata hai fb nahi aata 	 chintu brass
